rating_id,user_id,movie_id,rating_value,rating_date
129,27,11,3,2023-03-15
130,27,13,2,2023-12-24
131,27,5,4,2024-03-04
132,27,14,5,2023-02-02
133,28,14,3,2023-02-10
134,28,12,3,2023-12-20
135,28,5,3,2023-05-21
136,28,4,4,2024-01-13
137,28,8,2,2024-02-06
138,29,14,5,2023-02-18
139,29,12,3,2024-07-02
140,29,7,4,2023-01-04
141,29,5,1,2023-05-25
142,29,11,4,2023-01-16
143,30,12,4,2023-06-27
144,30,4,3,2023-11-08
145,30,14,1,2024-01-01
146,30,1,4,2024-01-05
147,31,9,1,2023-04-23
148,31,4,1,2023-08-21
149,31,5,3,2024-01-17
150,31,2,5,2024-05-21
151,32,12,2,2023-06-22
152,32,13,1,2024-01-06
153,32,9,4,2023-03-29
154,32,11,4,2023-02-22
155,32,2,4,2023-07-22
156,32,5,4,2023-06-18
157,33,8,2,2024-02-25
158,33,15,4,2023-07-04
159,33,11,2,2023-05-02
160,33,4,2,2024-04-14
161,33,1,1,2023-11-23
162,33,7,3,2023-09-09
163,34,8,2,2023-02-11
164,34,5,2,2024-05-09
165,34,9,3,2023-07-13
166,34,12,4,2023-12-24
167,34,13,4,2023-10-17
168,35,7,1,2023-07-22
169,35,8,5,2023-02-04
170,35,2,3,2024-06-14
171,35,4,3,2023-05-31
172,35,15,1,2024-04-02
173,35,12,1,2023-10-28
174,36,3,3,2023-03-11
175,36,9,3,2023-02-04
176,36,7,3,2024-02-11
177,36,4,4,2023-11-18
178,37,13,5,2023-06-25
179,37,10,3,2023-02-06
180,37,5,1,2024-03-13
181,37,15,4,2023-11-14
182,38,6,2,2023-03-21
183,38,3,4,2024-04-19
184,38,2,2,2023-08-12
185,38,7,1,2024-02-11
186,38,10,1,2024-04-19
187,39,7,5,2023-11-26
188,39,3,1,2024-04-16
189,39,6,5,2024-01-19
190,39,4,4,2023-02-12
191,39,1,5,2024-03-11
192,40,7,5,2023-12-02
193,40,14,5,2023-09-01
194,40,8,3,2023-03-08
195,40,13,3,2023-04-01
196,41,6,4,2023-09-09
197,41,3,1,2024-07-03
198,41,2,4,2024-01-16
199,41,4,1,2023-04-23
200,41,10,4,2023-09-18
201,42,12,3,2023-08-09
202,42,3,5,2023-06-17
203,42,5,1,2024-02-06
204,42,6,1,2024-06-08
205,42,9,5,2024-04-14
206,42,4,4,2024-06-21
207,43,12,3,2023-09-12
208,43,11,4,2023-07-28
209,43,4,5,2023-06-30
210,43,2,4,2024-01-30
211,43,7,3,2023-11-03
212,44,2,1,2024-04-17
213,44,3,2,2023-10-23
214,44,4,4,2023-03-25
215,44,6,3,2023-07-31
216,44,13,5,2024-03-13
217,44,14,5,2024-05-30
218,45,14,2,2023-09-21
219,45,13,1,2023-01-08
220,45,7,4,2024-02-21
221,45,12,3,2024-06-02
222,46,1,2,2023-07-14
223,46,4,1,2023-10-02
224,46,2,5,2023-06-04
225,46,12,3,2023-05-01
226,47,12,3,2024-03-12
227,47,5,3,2024-06-06
228,47,9,1,2023-05-10
229,47,1,3,2023-12-13
230,47,8,3,2024-06-23
231,48,1,2,2023-01-06
232,48,5,1,2023-07-19
233,48,6,4,2023-07-29
234,48,10,3,2023-04-02
235,49,2,3,2023-09-06
236,49,15,4,2023-06-08
237,49,7,5,2023-03-12
238,49,9,5,2024-02-01
239,49,1,3,2024-01-22
240,49,8,1,2023-09-29
241,50,4,2,2023-08-07
242,50,15,5,2024-04-02
243,50,13,4,2023-05-13
244,50,6,1,2024-04-23
245,50,10,1,2023-06-01
246,50,14,1,2023-06-25
